date,product,demand,price,day_of_week,month,is_weekend,promotion
2009-12-01,Accessories & Fashion,1727,3.34,1,12,0,0
2009-12-02,Accessories & Fashion,1653,3.9,2,12,0,0
2009-12-03,Accessories & Fashion,7457,3.73,3,12,0,1
2009-12-04,Accessories & Fashion,1757,3.34,4,12,0,0
2009-12-05,Accessories & Fashion,384,2.39,5,12,1,0
2009-12-06,Accessories & Fashion,582,3.3,6,12,1,0
2009-12-07,Accessories & Fashion,861,3.6,0,12,0,0
2009-12-08,Accessories & Fashion,1314,3.55,1,12,0,0
2009-12-09,Accessories & Fashion,1144,4.15,2,12,0,0
2009-12-10,Accessories & Fashion,1867,3.77,3,12,0,0
2009-12-11,Accessories & Fashion,2868,2.79,4,12,0,0
2009-12-12,Accessories & Fashion,0,2.79,5,12,1,0
2009-12-13,Accessories & Fashion,754,2.87,6,12,1,0
2009-12-14,Accessories & Fashion,3739,4.04,0,12,0,1
2009-12-15,Accessories & Fashion,1960,2.83,1,12,0,0
2009-12-16,Accessories & Fashion,1704,3.57,2,12,0,0
2009-12-17,Accessories & Fashion,1035,3.13,3,12,0,0
2009-12-18,Accessories & Fashion,964,4.06,4,12,0,0
2009-12-19,Accessories & Fashion,0,4.06,5,12,1,0
2009-12-20,Accessories & Fashion,289,3.09,6,12,1,0
2009-12-21,Accessories & Fashion,156,3.58,0,12,0,0
2009-12-22,Accessories & Fashion,720,5.2,1,12,0,0
2009-12-23,Accessories & Fashion,200,3.66,2,12,0,0
2009-12-24,Accessories & Fashion,0,3.66,3,12,0,0
2009-12-25,Accessories & Fashion,0,3.66,4,12,0,0
2009-12-26,Accessories & Fashion,0,3.66,5,12,1,0
2009-12-27,Accessories & Fashion,0,3.66,6,12,1,0
2009-12-28,Accessories & Fashion,0,3.66,0,12,0,0
2009-12-29,Accessories & Fashion,0,3.66,1,12,0,0
2009-12-30,Accessories & Fashion,0,3.66,2,12,0,0
2009-12-31,Accessories & Fashion,0,3.66,3,12,0,0
2010-01-01,Accessories & Fashion,0,3.66,4,1,0,0
2010-01-02,Accessories & Fashion,0,3.66,5,1,1,0
2010-01-03,Accessories & Fashion,0,3.66,6,1,1,0
