Model,MAE,RMSE,MAPE (%),R²
Ensemble,1554.73,1978.48,23.72,0.7622
XGBoost,1522.97,1991.76,23.99,0.759
Prophet,1977.25,2388.95,25.14,0.6533
ARIMA,3061.47,4006.12,37.07,0.0252
LSTM,3875.76,4598.05,40.84,-0.2842
Ensemble,1204.55,1653.58,41.43,0.4395
XGBoost,1194.08,1655.23,40.98,0.4384
Prophet,1579.03,1897.21,54.64,0.2622
ARIMA,1247.52,1898.82,32.19,0.2609
LSTM,1775.36,2306.64,42.0,-0.0907
Ensemble,1530.28,1955.24,27.58,0.6887
XGBoost,1421.7,2001.95,26.67,0.6736
Prophet,1983.19,2337.98,32.47,0.5549
LSTM,3090.12,3776.98,41.88,-0.1617
ARIMA,3179.55,4034.26,45.52,-0.3253
XGBoost,1218.86,6894.06,44.57,0.3391
Ensemble,1218.86,6894.06,44.57,0.3391
Prophet,1195.69,6951.4,39.9,0.3281
LSTM,1613.65,8522.53,49.93,-0.01
ARIMA,1470.85,8571.56,38.43,-0.0216
Ensemble,463.7,615.66,38.82,0.5649
XGBoost,465.64,620.93,39.53,0.5574
ARIMA,487.18,727.23,35.25,0.3929
Prophet,533.44,784.92,38.72,0.2927
LSTM,728.48,963.69,45.41,-0.0662
