feature,importance
promotion,0.72651505
is_weekend,0.11698365
is_holiday,0.036835242
day_of_week,0.015451335
rolling_mean_7,0.0105588455
lag_1,0.009358081
week_of_year,0.008575201
expanding_mean,0.0072140135
month,0.0067670597
rolling_mean_14,0.0064601605
rolling_std_7,0.0061179735
lag_7,0.005884603
rolling_mean_30,0.00520649
lag_3,0.004972251
rolling_std_14,0.004691791
price,0.004420958
day_of_month,0.004355722
rolling_std_30,0.004308607
year,0.0042614667
quarter,0.004083205
lag_14,0.0030897874
lag_30,0.002371974
is_month_start,0.0010119362
is_month_end,0.0005045106
