feature,importance
promotion,0.6165107
is_weekend,0.13905588
quarter,0.05640807
is_holiday,0.037549812
day_of_week,0.025201308
rolling_std_14,0.0124235125
lag_1,0.012303682
expanding_mean,0.010147286
rolling_mean_30,0.009895241
lag_7,0.009224689
rolling_std_30,0.008283708
week_of_year,0.00773169
rolling_std_7,0.007111352
rolling_mean_7,0.0068951626
rolling_mean_14,0.00608815
month,0.005337581
day_of_month,0.0052167643
lag_3,0.0052027437
lag_14,0.0048750485
price,0.0045122025
lag_30,0.0044890256
year,0.0044399058
is_month_end,0.00068740174
is_month_start,0.00040912768
