feature,importance
promotion,0.66019213
is_weekend,0.1260048
is_holiday,0.040199395
rolling_mean_7,0.021581186
quarter,0.017379185
lag_7,0.015606478
week_of_year,0.015577404
day_of_week,0.015455392
lag_14,0.014185882
rolling_mean_14,0.008812088
expanding_mean,0.007999286
day_of_month,0.007850191
is_month_end,0.0075582545
lag_1,0.007091908
month,0.0053580566
rolling_mean_30,0.005058947
rolling_std_7,0.004335994
rolling_std_30,0.0040611885
lag_3,0.0039801514
rolling_std_14,0.0034678772
price,0.0032386566
lag_30,0.0029783752
year,0.0012851655
is_month_start,0.0007420414
