feature,importance
promotion,0.51224285
is_weekend,0.17178226
is_holiday,0.15227786
day_of_week,0.03612253
rolling_mean_7,0.018580867
rolling_mean_14,0.012408603
lag_7,0.011167613
week_of_year,0.011081424
lag_1,0.00881875
expanding_mean,0.0061294846
rolling_std_14,0.0055356896
is_month_start,0.005070874
lag_14,0.0050323596
year,0.0048091607
day_of_month,0.00430751
is_month_end,0.0042979573
lag_30,0.0042833635
rolling_std_30,0.0041544475
lag_3,0.0040806746
price,0.0039243437
rolling_std_7,0.0039192056
rolling_mean_30,0.003636097
quarter,0.0035318923
month,0.0028041103
