feature,importance
promotion,0.79413867
is_weekend,0.068273075
is_holiday,0.018640384
lag_7,0.015050277
day_of_week,0.013222505
month,0.0123652555
week_of_year,0.0122532295
lag_3,0.008248507
rolling_mean_14,0.006528806
lag_30,0.0057288087
lag_1,0.005228555
is_month_end,0.004957
day_of_month,0.004889275
rolling_std_14,0.004617213
rolling_std_7,0.0040241294
price,0.0038403354
quarter,0.003478991
expanding_mean,0.003369582
rolling_mean_30,0.0030925702
lag_14,0.0026534458
rolling_mean_7,0.0022733093
rolling_std_30,0.0019791848
year,0.00078689994
is_month_start,0.0003600083
